requirement_id	claim_sha256	formal_file	formal_declarations	implementation_refs	test_refs	test_classes	formal_status	conformance_status	notes
A-11	49466708850de79bad154fc93dfcae0e635b422b6eb71e66e8fc4f85b7ed0594	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_no_open_faults;open_fault_blocks	docs/section3-repair-audit/global-fault-register.md;src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#assess	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#main;docs/section3-repair-audit/focused-adversarial-reviews.md	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	REFUTED	The durable register records open faults, but its state is not machine-parsed into the gate and open scoped findings remain
A-12	f2181d135695b755fa6af22a1c80bf7d4cc1a78d4b31e94225d9ab4e1f239da6	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_independent_reviews	docs/section3-repair-audit/adversarial-review-protocol.md;docs/section3-repair-audit/focused-adversarial-reviews.md	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#main;docs/section3-repair-audit/focused-adversarial-reviews.md	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	REFUTED	Bounded independent reports exist on moving snapshots, but no complete phase set and integrated review share one immutable manifest digest
A-13	041dbc6aead75470c15230194bf4241ca7234e39fe69cda630eb2845bd3a75c6	docs/section3-repair-audit/formal/AdaptiveEquivalenceAugmenter.lean	localCannotAdmitDirectly;schemaAdmissionRequiresVerification;generationStrictlyAdvances;forgedExactTypeCannotAuthenticate;sourceCommandContextCannotBeOverridden;sourceBoundConvenienceScopesHaveOneIdentity;unboundRequestScopeRemainsEffective;parserEquivalentEndpointSpellingsHaveOneContext;mismatchedApplicationContextHasNoAuthority;explicitOpenHasNoSourceClosureAuthority;distinctAritiesHaveDistinctCallableKeys;independentValidationExecutesItsOwnFormula;copiedParentCanSubstituteAnotherFormula;runSearchGuardIsFormula;checkSearchGuardIsCounterexampleDomain;guardedEqualityAppliesInSearchDomain;noContextualCounterexampleProvesEqualityInSearchDomain;erasedQuantifierDomainSchemaIsNotValid;consensusSchema	src/is/fivefivefive/CanDis/augmentation/EquivalenceAugmenter.java#observeEquivalent;src/is/fivefivefive/CanDis/augmentation/EquivalenceAugmenter.java#proposeSchema;src/is/fivefivefive/CanDis/augmentation/EquivalenceAugmenter.java#verifySchema;src/is/fivefivefive/CanDis/augmentation/EquivalenceAugmenter.java#admitSchema	src/is/fivefivefive/CanDis/augmentation/EquivalenceAugmenterTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	DIRECT-BOUNDED	The bounded MVP exercises lifecycle, context, persistence, work-limit, replay, and rejection paths; it records observations and supports externally proved schemas but does not generate Lean proofs or automatically establish general Alloy equivalence
G-01	a97b31d693fcb38477f7887840306155f1ebdc55a5839f06e08eaced4d36ebdb	docs/section3-repair-audit/formal/CrossPhaseContract.lean	policy_fields_are_independently_observable	src/is/fivefivefive/CanDis/theory/ArityPolicy.java#admits;src/is/fivefivefive/CanDis/theory/SiblingQuotient.java#commutative;src/is/fivefivefive/CanDis/theory/FlatLicense.java#enabled;src/is/fivefivefive/CanDis/theory/UnitLicense.java#UnitLicense	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java#main;src/is/fivefivefive/CanDis/theory/TheoryPortsTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	The abstract policy projections and bounded constructor probes are mapped; complete accidental-implication and Java refinement coverage remains open
G-02	bcd536d62d0dae60396eb0c2ba10b180af81a0dc89ee2608f11d22a5da6914b5	docs/section3-repair-audit/formal/TrustBoundary.lean	bundle_selected_digest_is_not_authority;digest_disagreement_rejects;parent_pin_cannot_authorize_publication;empty_fixture_pin_authorizes_no_ground_equation	src/is/fivefivefive/CanDis/theory/CertificateTheoryManifest.java#scalars;src/is/fivefivefive/CanDis/theory/IndependentCertificateVerifier.java#verify;certificate-verifier/src/org/acgn/cert/IndependentVerifier.java#verify	src/is/fivefivefive/CanDis/theory/CertificateBundleWriterTest.java#main;certificate-verifier/test/org/acgn/cert/TrustedTheoryPinsTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	Fixture authority separation is modeled; approved pins remain TEST_ONLY or TEST_ONLY_INPUT_SPECIFIC and no production theory authority is claimed
G-03	e7ea005566ea59d1721fc250b73de0b155db435a02d9fb2591778cb7830f4057	docs/section3-repair-audit/formal/CrossPhaseContract.lean	accepted_at_retains_the_complete_index;any_index_mutation_rejects_replay	src/is/fivefivefive/CanDis/theory/ContainerLawCertificate.java#lawIndex;src/is/fivefivefive/CanDis/theory/ContainerLawDeclaration.java#validateEvidenceFor;certificate-verifier/src/org/acgn/cert/SemanticEvidenceVerifier.java#verifyLawRecord	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java#main;src/is/fivefivefive/CanDis/theory/TheoryCertificatesTest.java#main;certificate-verifier/test/org/acgn/cert/ProducerSemanticEvidenceMutationTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	The complete abstract index and bounded one-field mutations are mapped; no Java-to-Lean/wire refinement proves completeness for every certificate family
G-04	cd94e7bfc46d71a32d8f8566931d2e20aaa63f66ffc679571df09445a44f4b92	docs/section3-repair-audit/formal/CrossPhaseContract.lean	any_index_mutation_rejects_replay;wrong_theory_digest_rejects;wrong_source_endpoint_rejects;wrong_target_endpoint_rejects	src/is/fivefivefive/CanDis/theory/ContainerLawCertificate.java#appliesTo;src/is/fivefivefive/CanDis/theory/ContainerLawDeclaration.java#validateEvidenceFor;certificate-verifier/src/org/acgn/cert/IndependentVerifier.java#verify	src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java#main;src/is/fivefivefive/CanDis/theory/TheoryCertificatesTest.java#main;certificate-verifier/test/org/acgn/cert/VerifierTest.java#main;certificate-verifier/test/org/acgn/cert/ProducerSemanticEvidenceMutationTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	Strong bounded fail-closed mutations pass, but no exhaustive evidence-family and field product or complete verifier refinement exists
G-05	c2715fb63547d1602f5ed57a5c6fc3c456d489870808878d059061211fe7a633	docs/section3-repair-audit/formal/TemporalAciPhasePresentation.lean	same_order_has_same_coherent_presentation;pair_permutation_has_one_presentation;triple_permutations_have_one_presentation;bounded_certified_aci_pair_has_zero_projection_distance;bounded_certified_aci_triple_has_zero_projection_distance	src/is/fivefivefive/CanDis/metric/RepairProjection.java#CanonicalPhaseProjection	src/is/fivefivefive/CanDis/AlloySourceRuleRegressionTest.java#checkTemporalAciSemanticRegression	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	Two- and three-sibling temporal ACI permutations have one bounded phase/binder/matrix presentation and zero guarded Java distance; general certified-equality kernel refinement and immutable review remain open
G-06	de4b776d7d42767f5796d41bcd1d1201905145807cb9fa955f22d3d3cbea9d47	docs/section3-repair-audit/formal/CrossPhaseContract.lean	zero_distance_has_certified_equality;uncertified_zero_disagreement_rejects	src/is/fivefivefive/CanDis/metric/QuotientRepairDistance.java#evaluate;src/is/fivefivefive/CanDis/CanonicalAlloyPipeline.java#distanceEvaluationWithStandaloneReplay	src/is/fivefivefive/CanDis/metric/QuotientRepairDistanceTest.java#main;src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main;certificate-verifier/test/org/acgn/cert/Phase6SemanticOrderVerifierRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	The abstract guarded kernel and bounded standalone PAIR slice reject disagreement; default producer observation and the supported Java zero set lack complete independent certification
G-07	a000debcc2bee801aeed70d648ed615c822c199c59be0ee05685a249532edf66	docs/section3-repair-audit/formal/RepairMetricSemantics.lean	alpha_distance_is_exact_pairwise_minimum;aci_distance_is_exact_minimum_cost_assignment;nonmaximum_empty_alignment_is_not_admissible	src/is/fivefivefive/CanDis/metric/QuotientRepairDistance.java#forEachGlobalScopeAlignment;src/is/fivefivefive/CanDis/metric/QuotientRepairDistance.java#searchGlobalMappings;src/is/fivefivefive/CanDis/metric/QuotientRepairDistance.java#minimumAssignmentCost	src/is/fivefivefive/CanDis/metric/QuotientRepairDistanceTest.java#main;src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main;src/is/fivefivefive/CanDis/metric/ConcreteRepairMetricRefinementTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	Exact minima are specified over certified candidates and bounded parity vectors pass; all-and-only candidate generation and algorithm refinement remain open
G-08	cbb5463a905bc30a1f410de31a1c22accca867e38ca185545b8e547d22ac7f10	docs/section3-repair-audit/formal/CrossPhaseContract.lean	accepted_binding_preserves_exact_occurrence;occurrence_substitution_rejects;lineage_substitution_rejects	src/is/fivefivefive/CanDis/theory/ConstructionSourceLedger.java#recordDependentChain;src/is/fivefivefive/CanDis/theory/CertifiedSemanticArtifact.java#validateConstructionCoverage;certificate-verifier/src/org/acgn/cert/SemanticEvidenceVerifier.java#verifyConstructionReference	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main;src/is/fivefivefive/CanDis/theory/TheoryCertificatesTest.java#main;certificate-verifier/test/org/acgn/cert/ProducerSemanticEvidenceMutationTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	Family-specific ownership and mutation evidence is mapped; no end-to-end occurrence refinement covers every parser, IR, evidence, transfer, and replay form
G-09	f5f81ea6b991eafb08c0094155fdd92a5367e59d297f1bfc01df16294b2f3e11	docs/section3-repair-audit/formal/CrossPhaseContract.lean	unsupported_cases_cannot_receive_law_authority	src/is/fivefivefive/CanDis/theory/TheoryAlloyAdapter.java#constructDependentChainOperand;src/is/fivefivefive/CanDis/core/AlloyOperatorPolicy.java#isFixedBinaryTypedChainOperator;src/is/fivefivefive/CanDis/theory/DependentChainTheory.java#requireSoundFlattening	src/is/fivefivefive/CanDis/theory/TheoryDependentChainTest.java#main;src/is/fivefivefive/CanDis/TheoryLawPolicyRegressionTest.java#main;src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	The bounded dependent-chain unsupported partition falls back structurally without law authority; the complete operator/profile partition and Java refinement remain open
G-10	3a56ce0a24935ae13c95f3625cb74f90d41b7372e4cbc3bd4133f7e6234f0505	docs/section3-repair-audit/formal/PhaseA2DependentChains.lean	absent_type_does_not_invent_univ;explicit_univ_is_retained;explicit_univ_has_chain_typing_authority;absent_type_receives_no_flat_certificate	src/is/fivefivefive/CanDis/theory/AlloyTypeBridge.java#graphType;src/is/fivefivefive/CanDis/theory/TheoryAlloyAdapter.java#outputType;src/is/fivefivefive/CanDis/theory/DependentChainTheory.java#relationViewFromStoredType;src/is/fivefivefive/CanDis/metric/RepairProjection.java#requireExactResultType	src/is/fivefivefive/CanDis/MASGVisitorTypeRegressionTest.java#main;src/is/fivefivefive/CanDis/theory/TheoryDependentChainTest.java#main;src/is/fivefivefive/CanDis/metric/QuotientRepairDistanceTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	Missing type cannot fabricate univ; explicit source univ remains exact type data and is directly probed. Whole parser-to-wire absence of every fabricated-univ path is not proved
G-11	0d69c4a80cc9fd76cfcc51125d35922b3e2e02ef9ab5b3b81d2df9b2c7813040	docs/section3-repair-audit/formal/Phase6OrbitCanonicalization.lean	candidate_key_order_is_total;schema_v10_admits_complete_contract;only_schema_v10_admits_complete_contract;historical_and_future_schemas_reject_complete_contract;certificate_byte_count_is_encoded_length;byte_identical_runs_have_identical_derived_counters	src/is/fivefivefive/CanDis/theory/CertificateBundleWriter.java#write;certificate-verifier/src/org/acgn/cert/Codec.java#encode;certificate-verifier/src/org/acgn/cert/Bundle.java#parse	src/is/fivefivefive/CanDis/theory/TheoryDeterminismTest.java#main;src/is/fivefivefive/CanDis/theory/CertificateBundleWriterTest.java#main;certificate-verifier/test/org/acgn/cert/VerifierTest.java#main;certificate-verifier/test/org/acgn/cert/TrustedTheoryPinsTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	DIRECT-BOUNDED	Schema-v10 exclusivity, explicit v9 rejection, and fresh-process deterministic bytes pass bounded checks; universal Java codec uniqueness and platform refinement remain open
G-12	c2f3490370daf9b8652340f423149e63830113081eb8b6951fa23772fa079b38	docs/section3-repair-audit/formal/GuardedPrenex.lean	guarded_lift_requires_inhabited_carrier;empty_carrier_blocks_unconditional_guarded_lift	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#visitRelDecl;src/is/fivefivefive/CanDis/core/NormalForm.java#hasScopedInhabitedCarrierWitness	src/is/fivefivefive/CanDis/MASGVisitorTypeRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	Dependent declaration and empty-carrier guard boundaries are mapped; end-to-end information preservation for every later proof remains open
G-13	ccc9f0db05c2bc47bc4b511a1afb1ddfe2c884bf86bc20e8364064474084413d	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_manifest_complete	src/is/fivefivefive/CanDis/AblationRunManifest.java#capture;src/is/fivefivefive/CanDis/CanonicalBatchTest.java#writeJsonHeader;src/is/fivefivefive/CanDis/Alloy4FunAugmenter.java#writeJson	scripts/run_publication_manifest_tests.sh;scripts/verify_imported_publication_snapshot.sh	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	REFUTED	One historical snapshot is hash-bound, but the literal every-empirical-claim assertion is false for the moving repair snapshot and no new immutable run exists
G-14	42c8f6980168678c345681de6892e77a892b789e2a57839233f46fd3a3f20789	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_manifest_complete	scripts/verify_imported_publication_snapshot.sh;scripts/run_publication_manifest_tests.sh	scripts/verify_imported_publication_snapshot.sh;scripts/run_publication_manifest_tests.sh	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	DIRECT-BOUNDED	The enumerated protected paths are unchanged from 8ec25613 and the imported 5804-file snapshot verifies; this is bounded path-set evidence, not universal external-asset identity
G-15	cf235ca02c21f5465c106049a488084319dff2177cdfa8c8980428e7ecdc3dbf	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_three_test_classes;pass_implies_direct_conformance	scripts/run_section3_assurance.sh;.github/workflows/bounded-ci.yml	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#main;scripts/run_bounded_ci_java_tests.sh	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	REFUTED	The protected bounded-CI entry point omits required policy suites and CI does not execute the richer assurance entry point; no protected script was changed
G-16	55d8f25a9b45ee3deace85550ff016e29558225d04bad00336f778f07a7c4aa5	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_requirements_decomposed;missing_formal_evidence_blocks;open_fault_blocks	src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#assess;src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#validate	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	REFUTED	Row-count and mapping checks exist, but there is no independently fixed closed-world statement census and the current matrix has open diagnostics
G-17	0083fe6d6b89d25df2fde7924f753fc9be00dfd283a458a9e458792bd0a44fd2	docs/section3-repair-audit/formal/TrustBoundary.lean	bundle_selected_digest_is_not_authority;parent_pin_cannot_authorize_publication	src/is/fivefivefive/CanDis/metric/QuotientRepairDistance.java#kernelAuthority;src/is/fivefivefive/CanDis/CanonicalAlloyPipeline.java#distanceEvaluationWithStandaloneReplay;certificate-verifier/src/org/acgn/cert/IndependentVerifier.java#verify	certificate-verifier/test/org/acgn/cert/TrustedTheoryPinsTest.java#main;src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	REFUTED	Fixture authority is bounded, but no repository-wide surface authority checker exists and stale evidence assertions have exceeded executable authority
G-18	0e41d0c95dfc56c17619392d376b857ada14efaef1b4247191d64c09b7f18ebc	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_manifest_complete	src/is/fivefivefive/CanDis/AblationRunManifest.java#loadCompatibleArms;src/is/fivefivefive/CanDis/AblationRunManifest.java#verifyOutputs;src/is/fivefivefive/CanDis/CanonicalBatchTest.java#writeMarkdown;src/is/fivefivefive/CanDis/Alloy4FunAugmenter.java#writeMarkdown	scripts/run_publication_manifest_tests.sh;src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	REFUTED	Manifest compatibility mechanisms exist, but no complete statement-to-manifest registry establishes every nonhistorical numeric or comparative statement
P1-01	f4486d01f21e8d3c36616c00ec59a4a1a8ae77a0f3cbf1f3766a64c28537f8f3	docs/section3-repair-audit/formal/Phase1CallExtraction.lean	valid_creation_capture_is_immediate_and_stable	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#visitCall;src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#updateTimeOfVisit	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	PARTIAL	The immediate stable-capture contract is explicit in Lean and directly probed in Java; parser-to-MASG transition refinement and structural coverage remain open
P1-02	a2ae0c29fc467113d5b4e73472be65ee06ab23fd3edec8a8f1a6c3bf8064a22a	docs/section3-repair-audit/formal/Phase1CallExtraction.lean	valid_visit_callee_belongs_to_occurrence;valid_visit_arguments_belong_to_occurrence;valid_visit_owns_exact_terminator;valid_visit_has_exact_callee_argument_end_order	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#validateCompletedCallVisit;src/is/fivefivefive/CanDis/ir/IRAgent.java#validateCallDownlinks	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	DIRECT	The abstract ownership theorem and cross-visit Java mutations cover callee, arguments, and END; a mechanized MASGEdge refinement is not claimed
P1-03	da23c175799de61eaa74dfdf356927a22977fa424f6e1ace08e79acaca4cdf05	docs/section3-repair-audit/formal/Phase1CallExtraction.lean	valid_visit_has_one_callee;valid_visit_has_exact_callee_identity	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#validateCompletedCallVisit;src/is/fivefivefive/CanDis/ir/IRAgent.java#validateCallDownlinks;src/is/fivefivefive/ACGN/alloy/CallSymbol.java#matchesTarget	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	DIRECT	Exact one-callee identity follows formally; missing, duplicate, and forged qualified callee mutations reject at the Java boundary
P1-04	3f21609e7836b9d982bb677409d16207a9715eed342a8a9eaba8a558cf3d37b4	docs/section3-repair-audit/formal/Phase1CallExtraction.lean	valid_visit_has_contiguous_ordered_roles;valid_visit_has_exact_callee_argument_end_order;noncontiguous_roles_reject	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#validateCompletedCallVisit;src/is/fivefivefive/CanDis/ir/IRAgent.java#validateCallDownlinks	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	DIRECT	Contiguous source-ordered roles and the full edge layout are proved abstractly and attacked at the Java boundary
P1-05	3177b459222015bc1a67e108ca3b636dda3df1fdfe2147121d681cbab6349615	docs/section3-repair-audit/formal/Phase1CallExtraction.lean	call_term_equality_preserves_argument_order;swapped_arguments_are_distinct;capture_preserves_parser_key_and_argument_order	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#visitCall;src/is/fivefivefive/CanDis/ir/IRAgent.java#buildEGraph;src/is/fivefivefive/ACGN/codegen/Generator.java#toCode	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	DIRECT	The source-record capture model preserves order and Java tests distinguish h[a,b] from h[b,a] across boundaries; parser-object refinement is not mechanized
P1-06	30fb21fcb2a524cc57aa6a240c4380ce349da552b012527be9e41ff988e810f9	docs/section3-repair-audit/formal/Phase1CallExtraction.lean	valid_visit_uses_declared_arity;observed_arity_cannot_replace_declared_arity	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#resolveCallable;src/is/fivefivefive/ACGN/alloy/AlloyLibraryCallableLedger.java#require;src/is/fivefivefive/CanDis/core/CallMetadata.java#require	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PARTIAL	DIRECT	Declared arity controls validity and Java rejects truncated, extended, and corrupted arities; declaration and ledger provenance are outside the Lean model
P1-07	d3acdcf133d537dd9ff91a096485f330dbf53cda8c9f223a6bf25f4b156c08f5	docs/section3-repair-audit/formal/Phase1CallExtraction.lean	valid_visit_owns_exact_terminator;valid_visit_has_exact_callee_argument_end_order;missing_end_rejects;foreign_end_rejects;end_before_arguments_rejects	src/is/fivefivefive/ACGN/visitor/MASGVisitor.java#validateCompletedCallVisit;src/is/fivefivefive/CanDis/ir/IRAgent.java#validateCallDownlinks;src/is/fivefivefive/ACGN/codegen/Generator.java#validatedCallEdges	src/is/fivefivefive/CanDis/CallExtractionRegressionTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	DIRECT	The exact owned END and its final position are proved and malformed END layouts reject in the bounded Java matrix
