rule_id	scope	rule	baseline_name	lean_refs	java_refs	test_refs	status	notes
R0-CORE-011	BOTH	Negated quantifiers switch quantifier kind and matrix polarity	quantifier negation duals	docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_forall_is_exists_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_exists_is_forall_not;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_no_quantifier_is_some;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_one_is_notone;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_lone_is_notlone;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_notone_is_one;docs/section3-repair-audit/formal/Phase5SourceRules.lean#negated_notlone_is_lone	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNot;src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteQuantifier;src/is/fivefivefive/CanDis/core/NormalForm.java#quantifierOf;src/is/fivefivefive/CanDis/core/NormalForm.java#prenexWithBoundaryAllowance	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testOneAndLoneQuantifierNegation	PROVED_AND_CONNECTED	ONE and LONE consume negation into explicit internal complements.
R0-CORE-012	BOTH	NO quantification expands to universal quantification of a negated body	no-to-all-not quantifier expansion	docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_quantifier_is_all_not	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteQuantifier;src/is/fivefivefive/CanDis/core/NormalForm.java#quantifierOf;src/is/fivefivefive/CanDis/core/NormalForm.java#prenexWithBoundaryAllowance	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testAllNoNotQuantifierEquivalence	PROVED_AND_CONNECTED	No second matrix negation is introduced.
R0-CORE-013	BOTH	Quantification over an empty admissible domain folds by quantifier truth	empty quantifier domains	docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_domain_all;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_domain_not_some;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_domain_no;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_domain_not_one;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_domain_lone;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_domain_not_not_lone	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteQuantifier;src/is/fivefivefive/CanDis/core/NormalForm.java#emptyTupleDomainValue;src/is/fivefivefive/CanDis/core/NormalForm.java#prenexWithBoundaryAllowance	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testEmptyDomainQuantifierRewrite	PROVED_AND_CONNECTED	The admissible binding set, not spelling alone, must be empty.
R0-CORE-014	BASELINE	Carrier-independent false or true quantified bodies fold exactly	constant quantifier bodies	docs/section3-repair-audit/formal/Phase5SourceRules.lean#all_true_body;docs/section3-repair-audit/formal/Phase5SourceRules.lean#some_false_body_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_false_body_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#one_false_body_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#lone_false_body_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#notone_false_body_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#notlone_false_body_is_false	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteQuantifier	src/is/fivefivefive/CanDis/ablation/EGraphAblationTest.java#main	PROVED_AND_CONNECTED	Carrier-dependent constant cases remain explicit.
R0-CORE-015	BOTH	Existential quantification moves across conjunction without capture	safe existential-conjunction prenex	docs/section3-repair-audit/formal/Phase5SourceRules.lean#safe_exists_conjunction_prenex	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#prenexWithBoundaryAllowance	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testCommutingPrenexBindingsIgnoreBranchOrder	PROVED_AND_CONNECTED	The outside branch is independent of the bound variable.
R0-CORE-016	BOTH	Universal quantification moves across disjunction without capture	safe universal-disjunction prenex	docs/section3-repair-audit/formal/Phase5SourceRules.lean#safe_forall_disjunction_prenex	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#prenexWithBoundaryAllowance	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testCommutingPrenexBindingsIgnoreBranchOrder	PROVED_AND_CONNECTED	The outside branch is independent of the bound variable.
R0-CORE-017	BOTH	Licensed Boolean relational integer and dependent-chain operators flatten associatively	associativity	docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_associative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_associative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_associative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_associative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#integer_addition_associative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#integer_multiplication_associative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_join_associative;docs/section3-repair-audit/formal/PhaseA2DependentChains.lean#arrow_reassociation	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#flatten;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeAssociativeCommutative;src/is/fivefivefive/CanDis/core/NormalForm.java#flattenBooleanAssociationForPrenex;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testAssociativeCommutativeSaturation;src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testAssociativeNoncommutativeJoin	PROVED_AND_CONNECTED	JOIN and ARROW retain sequence order and require dependent boundary evidence.
R0-CORE-018	BOTH	Licensed Boolean relational integer comparison and disjoint operators commute	commutativity	docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#integer_addition_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#integer_multiplication_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#equality_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#inequality_commutative;docs/section3-repair-audit/formal/Phase5SourceRules.lean#iff_commutative;docs/section3-repair-audit/formal/FullCorpusNonTemporalP0.lean#disjoint_is_commutative	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeAssociativeCommutative;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testAssociativeCommutativeSaturation	PROVED_AND_CONNECTED	Sequence operators are excluded.
R0-CORE-019	BOTH	Only SET or otherwise licensed ACI operators eliminate duplicate operands	idempotence	docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_idempotent;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_idempotent;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_idempotent;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_idempotent	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeAssociativeCommutative;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testBagMultiplicityPreservedUntilExplicitRewrite	PROVED_AND_CONNECTED	Integer BAG and relational SEQUENCE multiplicities are retained.
R0-CORE-020	BOTH	Boolean identities and annihilators simplify exact Boolean containers	boolean identities and annihilators	docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_true_identity;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_false_identity;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_false_absorbs;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_true_absorbs	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testBooleanIdentitySaturation	PROVED_AND_CONNECTED	Generic Bool-looking metadata is not authority.
R0-CORE-021	BOTH	A proposition and its certified complement collapse the Boolean container	boolean complements	docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_complement_or_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_complement_and_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#equivalent_boolean_complement_or_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#equivalent_boolean_complement_and_is_false	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testComplementEliminatesRedundantSlot	PROVED_AND_CONNECTED	Operand equality must be certified in the same quotient.
R0-CORE-022	BOTH	Subset membership against none or univ folds only under its exact guards	membership in none/univ	docs/section3-repair-audit/formal/Phase5SourceRules.lean#none_in_every_same_arity_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#nonempty_in_none_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#every_relation_in_univ;docs/section3-repair-audit/formal/Phase5SourceRules.lean#none_not_in_same_arity_relation_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#nonempty_not_in_none_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_relation_not_in_univ	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testSetIdentitySaturation	PROVED_AND_CONNECTED	The false none rule requires a nonempty left relation.
R0-CORE-023	BOTH	Relational union eliminates none and absorbs univ	relational union with none	docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_none_is_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_univ_is_univ	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testSetIdentitySaturation	PROVED_AND_CONNECTED	Only authenticated same-arity constants participate.
R0-CORE-024	BOTH	Relational intersection absorbs none and eliminates univ	relational intersection with none	docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_none_is_none;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_univ_is_relation	src/is/fivefivefive/CanDis/core/egraph/AlloyRewriteSystem.java#rewriteNode;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testSetIdentitySaturation	PROVED_AND_CONNECTED	Only authenticated same-arity constants participate.
R0-STRUCT-001	PRODUCTION	Alpha renaming preserves the scoped binder action		docs/section3-repair-audit/formal/Phase6OrbitCanonicalization.lean#action_alpha_canonical_serialization_commutes;docs/section3-repair-audit/formal/PrenexAciScheduling.lean#different_scope_paths_separate_shadowed_bindings	src/is/fivefivefive/CanDis/core/NormalForm.java#alphaRenameBoundVariables;src/is/fivefivefive/CanDis/core/NormalForm.java#alphaRenameRelDecl	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testAlphaRenamingKeepsCanonicalDistanceZero	PROVED_AND_CONNECTED	Readable names are diagnostics only; scope identity controls slots.
R0-BIND-001	PRODUCTION	Complex quantified domains become exact local implication conjunction or negated-existence guards		docs/section3-repair-audit/formal/Phase5SourceRules.lean#universal_complex_domain_guard;docs/section3-repair-audit/formal/Phase5SourceRules.lean#existential_complex_domain_guard;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_complex_domain_guard	src/is/fivefivefive/CanDis/core/NormalForm.java#applyDomainConstraints;src/is/fivefivefive/CanDis/core/NormalForm.java#prenexRelDecl	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testPrimitiveDomainConstraintNotDuplicatedInMatrix	PROVED_AND_CONNECTED	Primitive carrier facts already encoded in QuantiVar are not duplicated.
R0-BIND-002	PRODUCTION	A single quantified membership formula reduces according to multiplicity polarity and exact set semantics		docs/section3-repair-audit/formal/Phase5SourceRules.lean#all_admitted_positive_membership_iff_domain_subset;docs/section3-repair-audit/formal/Phase5SourceRules.lean#some_set_positive_membership_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#some_lone_positive_membership_is_true;docs/section3-repair-audit/formal/Phase5SourceRules.lean#some_some_positive_membership_iff_intersection_nonempty;docs/section3-repair-audit/formal/Phase5SourceRules.lean#some_one_positive_membership_iff_intersection_nonempty;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_set_positive_membership_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_lone_positive_membership_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_some_positive_membership_iff_intersection_empty;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_one_positive_membership_iff_intersection_empty;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_negative_membership_iff_domain_subset;docs/section3-repair-audit/formal/Phase5SourceRules.lean#some_negative_membership_iff_difference_nonempty;docs/section3-repair-audit/formal/Phase5SourceRules.lean#all_set_negative_membership_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#all_lone_negative_membership_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#all_some_negative_membership_iff_intersection_empty;docs/section3-repair-audit/formal/Phase5SourceRules.lean#all_one_negative_membership_iff_intersection_empty	src/is/fivefivefive/CanDis/core/NormalForm.java#eliminateSingleMembershipQuantifier;src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedMembershipQuantifierElimination	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	EXACTLY multiplicity is explicitly outside this eliminator.
R0-REL-001	PRODUCTION	Converse is involutive and distributes over union intersection and difference		docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_involutive;docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_distributes_over_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_distributes_over_intersection;docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_distributes_over_difference	src/is/fivefivefive/CanDis/core/NormalForm.java#distributeTransposeThroughContainer;src/is/fivefivefive/CanDis/core/EGraphNode.java#distributeTransposeThroughContainer	src/is/fivefivefive/CanDis/MASGVisitorTypeRegressionTest.java#checkRelationalDistributions	PROVED_AND_CONNECTED	Exact binary relation evidence is required.
R0-REL-002	PRODUCTION	Cartesian products factor unions by fixed coordinates or complete grids		docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product_distributes_over_union_right;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product_distributes_over_union_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product3_distributes_over_union_third;docs/section3-repair-audit/formal/Phase5SourceRules.lean#complete_two_coordinate_grid_is_product_of_unions;docs/section3-repair-audit/formal/Phase5SourceRules.lean#partial_product_grid_does_not_cover_full_product	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedProductUnionCarrier;src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedProductSubgroupReduction	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedDistributiveLattices	PROVED_AND_CONNECTED	Partial and diagonal grids are barriers.
R0-REL-003	PRODUCTION	Intersections of equal-arity products factor coordinatewise		docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product_intersection_coordinatewise;docs/section3-repair-audit/formal/Phase5SourceRules.lean#three_relation_products_intersect_coordinatewise;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product3_intersection_coordinatewise	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedProductIntersectionFactoring	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Every source contributes exactly one operand to every coordinate.
R0-REL-004	PRODUCTION	Boolean and relational lattices apply absorption and factored distributivity contextually		docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_absorbs_or;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_absorbs_and;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_absorption_preserves_context;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_absorption_preserves_context;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_and_distributes_over_or;docs/section3-repair-audit/formal/Phase5SourceRules.lean#boolean_or_distributes_over_and;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_absorbs_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_absorbs_intersection;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_absorption_preserves_context;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_absorption_preserves_context;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_intersection_distributes_over_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_union_distributes_over_intersection	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedLatticeNormalForm;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testVariadicAbsorptionPreservesUnrelatedOperands;src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedDistributiveLattices	PROVED_AND_CONNECTED	Only the matched submultiset is replaced.
R0-REL-005	PRODUCTION	Difference distributes or factors against union and intersection with a common operand		docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_union_common_right;docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_intersection_common_right;docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_intersection_common_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_union_common_left	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedDifferenceFactoring	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Typed slot invocations remain attached to their operand.
R0-REL-006	PRODUCTION	JOIN factors union on either side and within an ordered chain		docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_join_distributes_over_union_right;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_join_distributes_over_union_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_join_distributes_over_union_middle_context	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedJoinUnionFactoring	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	JOIN order and exact boundary types are preserved.
R0-REL-007	PRODUCTION	SOME and NO distribute over finite relational union		docs/section3-repair-audit/formal/Phase5SourceRules.lean#nonempty_union_iff;docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_union_iff	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedUnionCardinalityExpansion;src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateRelationalUnaryRule	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	The Boolean result uses the matching ACI polarity.
